epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,824.561,1.44891,2.46971,1.63429,0.524,0.38721,0.38986,0.18867,1.928,2.58993,2.20995,0.000476094,0.000476094,0.000476094
2,1371.28,1.47074,1.86229,1.63798,0.50357,0.43523,0.43873,0.25594,1.71788,2.21275,2.02495,0.000920997,0.000920997,0.000920997
3,1846.25,1.44081,1.74192,1.62155,0.6019,0.4515,0.51896,0.30188,1.63545,1.96661,1.92345,0.00133446,0.00133446,0.00133446
4,2260.43,1.38829,1.63489,1.57998,0.64243,0.50958,0.5541,0.3379,1.53528,1.7594,1.82782,0.00128753,0.00128753,0.00128753
5,2926.36,1.31838,1.48246,1.52376,0.70098,0.54879,0.63916,0.38558,1.48155,1.53519,1.79725,0.00124037,0.00124037,0.00124037
6,4078.69,1.27092,1.39307,1.48973,0.69412,0.57167,0.61113,0.37151,1.47669,1.58896,1.77929,0.00119322,0.00119322,0.00119322
7,4706.91,1.23227,1.32739,1.45704,0.74566,0.59426,0.673,0.41899,1.44973,1.42912,1.71781,0.00114606,0.00114606,0.00114606
8,5174.94,1.21346,1.27744,1.43812,0.74936,0.61608,0.68285,0.43145,1.38942,1.35146,1.68357,0.0010989,0.0010989,0.0010989
9,5701.08,1.18133,1.21331,1.40997,0.7362,0.62078,0.67993,0.42514,1.38611,1.31318,1.64997,0.00105174,0.00105174,0.00105174
10,6292.83,1.16748,1.16752,1.39373,0.76276,0.62548,0.70877,0.44658,1.36211,1.30253,1.65188,0.00100459,0.00100459,0.00100459
11,6813.16,1.13958,1.12908,1.37793,0.78371,0.65693,0.7353,0.47533,1.33079,1.23033,1.61707,0.00095743,0.00095743,0.00095743
12,7352.17,1.11706,1.08867,1.3632,0.78745,0.67589,0.74455,0.49068,1.32608,1.17715,1.6077,0.000910273,0.000910273,0.000910273
13,7821.08,1.10317,1.06073,1.34693,0.78824,0.69111,0.76158,0.49922,1.29607,1.13223,1.58948,0.000863116,0.000863116,0.000863116
14,8243.88,1.08985,1.03321,1.33998,0.83715,0.68396,0.78295,0.52184,1.27564,1.07672,1.55376,0.000815959,0.000815959,0.000815959
15,8737.81,1.07163,0.99899,1.32417,0.84886,0.69496,0.79405,0.52963,1.27769,1.06504,1.54516,0.000768802,0.000768802,0.000768802
16,9325.13,1.05557,0.97304,1.31286,0.84312,0.69701,0.79615,0.53355,1.27939,1.0455,1.56106,0.000721645,0.000721645,0.000721645
17,9833.43,1.03778,0.94082,1.29976,0.83384,0.70874,0.799,0.54472,1.2521,1.03574,1.53692,0.000674488,0.000674488,0.000674488
18,10551.3,1.02446,0.9204,1.28679,0.81244,0.73737,0.80722,0.54687,1.22932,0.98436,1.5142,0.000627331,0.000627331,0.000627331
19,11065.6,1.01432,0.89661,1.28189,0.8491,0.72722,0.81096,0.55322,1.25667,1.00938,1.54297,0.000580174,0.000580174,0.000580174
20,11560,1.00414,0.87694,1.26819,0.84442,0.74437,0.82698,0.56759,1.22064,0.91487,1.50863,0.000533017,0.000533017,0.000533017
21,12161.1,0.93767,0.65163,1.24286,0.84567,0.72652,0.81527,0.56168,1.24275,0.93591,1.53952,0.00048586,0.00048586,0.00048586
22,12515.8,0.90473,0.61592,1.21818,0.86787,0.7281,0.81614,0.56223,1.23302,0.9157,1.53528,0.000438703,0.000438703,0.000438703
23,12864.5,0.87965,0.58282,1.19454,0.87559,0.7266,0.81607,0.56114,1.22261,0.9045,1.53656,0.000391546,0.000391546,0.000391546
24,13208.8,0.85406,0.55694,1.17764,0.86372,0.73891,0.82592,0.57438,1.20484,0.8599,1.52162,0.000344389,0.000344389,0.000344389
25,13553.5,0.83541,0.53385,1.16563,0.86437,0.74811,0.82463,0.57109,1.20785,0.86313,1.53301,0.000297232,0.000297232,0.000297232
26,13898.3,0.81322,0.5131,1.14975,0.87256,0.75754,0.83066,0.58167,1.19946,0.84262,1.53957,0.000250075,0.000250075,0.000250075
27,14243.6,0.7974,0.49365,1.13528,0.87891,0.76731,0.8364,0.58773,1.18269,0.81223,1.51341,0.000202918,0.000202918,0.000202918
28,14592,0.78251,0.48235,1.12315,0.87219,0.77143,0.83642,0.58986,1.17048,0.80708,1.50871,0.000155761,0.000155761,0.000155761
29,14939.2,0.76217,0.46495,1.11333,0.87299,0.77625,0.83362,0.58477,1.1898,0.80303,1.53948,0.000108604,0.000108604,0.000108604
30,15285.8,0.75084,0.4524,1.10327,0.87269,0.77692,0.83775,0.58694,1.18129,0.79497,1.53105,6.1447e-05,6.1447e-05,6.1447e-05
